Source,TagName,DateTime,State,Value,Unit,Quality,QualityStatus
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 12:08:50.000",,"60.660529289696726","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 2:24:43.910",,"60.58","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 5:36:44.379",,"60.93","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 5:44:44.417",,"60.97","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 6:16:44.584",,"61.07","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 11:18:45.120",,"60.49","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 11:20:45.103",,"60.49","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 12:22:45.265",,"59.66","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 4:54:45.824",,"60.93","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 4:56:45.810",,"60.93","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 9:14:46.422",,"60.48","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 9:40:46.457",,"62.54","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 10:28:46.565",,"61.55","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/1/2019 10:30:46.546",,"61.55","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 3:22:47.228",,"61.1","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 4:04:47.321",,"61.14","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 4:06:47.305",,"61.14","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 7:24:47.698",,"61.22","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 9:26:47.916",,"59.97","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 9:40:47.952",,"59.98","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 9:44:47.967",,"59.98","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 10:06:48.078",,"59.61","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 3:04:48.667",,"66.51","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 3:16:48.739",,"66.51","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 3:18:48.688",,"66.51","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 8:30:49.303",,"67.47","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/2/2019 8:32:49.291",,"67.47","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 8:37:13.103",,"68.73","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 11:59:12.000",,"67.21","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 12:01:11.428",,"67.21","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 5:11:12.282",,"65.24","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 5:35:11.606",,"65.65","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 5:37:11.587",,"65.65","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 7:01:11.833",,"65.76","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 9:39:11.999",,"64.92","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 11:11:12.178",,"65.43","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 11:13:12.752",,"65.42","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/4/2019 11:25:12.228",,"65.54","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 4:45:12.885",,"63.51","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 4:47:12.891",,"63.51","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 4:49:12.913",,"63.37","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 4:51:12.980",,"63.32","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 7:11:13.224",,"64.08","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 10:21:13.654",,"63.64","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 10:23:13.641",,"63.64","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 1:55:13.978",,"64.03","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 3:29:14.653",,"62.26","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 3:57:14.232",,"62.26","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 3:59:14.266",,"62.26","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 8:19:14.718",,"61.05","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 9:31:14.893",,"62.77","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 9:35:14.904",,"62.85","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/5/2019 9:37:14.901",,"62.84","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/6/2019 1:49:15.600",,"63.7","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/6/2019 3:09:15.539",,"63.29","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/6/2019 3:11:15.589",,"63.29","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/6/2019 8:13:16.031",,"61.1","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/6/2019 8:43:16.112",,"61.97","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/6/2019 8:45:16.116",,"62.03","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/6/2019 11:27:16.428",,"63.4","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/6/2019 1:07:16.724",,"62.74","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 10:31:50.205",,"62.03","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 12:39:47.887",,"61.66","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 12:41:47.995",,"61.66","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 12:43:47.937",,"61.67","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 12:45:47.772",,"61.68","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 6:13:49.059",,"59.64","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 6:15:49.270",,"59.64","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 6:17:49.186",,"59.64","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 7:01:50.318",,"59.63","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 10:15:49.978",,"62.39","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 11:51:50.467",,"61.95","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/7/2019 11:53:50.447",,"61.97","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 5:25:50.268",,"59.81","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 5:29:50.473",,"59.78","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 8:53:50.756",,"59.04","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 10:59:50.722",,"60.08","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 11:03:50.712",,"60.08","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 11:05:50.766",,"60.11","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 12:09:50.934",,"59.87","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 4:31:51.527",,"61.61","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 4:37:51.517",,"61.52","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 4:39:51.619",,"61.48","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 8:05:51.841",,"59.05","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 10:13:52.152",,"61.36","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 10:15:52.911",,"61.36","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/8/2019 10:31:52.165",,"61.52","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/9/2019 3:19:52.990",,"60.97","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/9/2019 3:49:53.657",,"61.14","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/9/2019 3:51:53.061",,"61.14","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/9/2019 4:41:53.242",,"60.58","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/9/2019 9:21:55.447",,"65.17","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 8:34:52.281",,"67.89","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 10:06:50.846",,"65.51","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 11:44:50.633",,"66.14","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 11:46:50.996",,"66.14","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 3:32:51.069",,"66.72","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 5:20:51.178",,"64.17","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 5:22:51.162",,"64.17","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 8:14:51.911",,"63.39","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 9:06:51.730",,"64.63","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 10:54:52.123",,"64.31","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 10:56:52.558",,"64.31","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/11/2019 11:02:52.005",,"64.32","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 1:02:52.263",,"63.52","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 4:28:53.668",,"63.72","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 4:32:53.691",,"63.63","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 7:08:53.120",,"61.89","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 9:34:53.403",,"63.79","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 10:06:53.290",,"63.57","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 10:08:53.547",,"63.49","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 11:12:53.341",,"63.75","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 12:24:53.471",,"62.9","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 3:42:53.917",,"63.42","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 3:44:53.918",,"63.42","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 8:06:54.501",,"61.7","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 9:16:54.643",,"62.77","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 9:18:54.830",,"62.78","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/12/2019 10:56:55.106",,"62.38","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 1:12:55.252",,"63.08","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 2:52:56.754",,"62.61","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 2:54:55.648",,"62.61","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 5:54:55.732",,"60.54","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 8:28:55.913",,"61.33","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 8:32:56.525",,"61.45","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 10:50:56.849",,"62.59","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 12:54:56.530",,"60.67","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 2:02:56.613",,"60.96","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 2:04:56.623",,"61.05","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 3:32:56.824",,"63.3","%",192,"Good"
"STL Domae4 M1 Laser Humidity","STL Domae4 M1 Laser1 Humidity","11/13/2019 7:38:57.207",,"60.93","%",192,"Good"
