Source,TagName,DateTime,State,Value,Unit,Quality,QualityStatus
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,08:50.0,,60.66052929,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,24:43.9,,60.58,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,36:44.4,,60.93,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,44:44.4,,60.97,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,16:44.6,,61.07,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,18:45.1,,60.49,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,20:45.1,,60.49,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,22:45.3,,59.66,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:45.8,,60.93,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,56:45.8,,60.93,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,14:46.4,,60.48,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,40:46.5,,62.54,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,28:46.6,,61.55,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,30:46.5,,61.55,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,22:47.2,,61.1,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,04:47.3,,61.14,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,06:47.3,,61.14,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,24:47.7,,61.22,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,26:47.9,,59.97,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,40:48.0,,59.98,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,44:48.0,,59.98,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,06:48.1,,59.61,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,04:48.7,,66.51,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,16:48.7,,66.51,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,18:48.7,,66.51,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,30:49.3,,67.47,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,32:49.3,,67.47,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,37:13.1,,68.73,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,59:12.0,,67.21,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,01:11.4,,67.21,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,11:12.3,,65.24,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,35:11.6,,65.65,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,37:11.6,,65.65,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,01:11.8,,65.76,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,39:12.0,,64.92,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,11:12.2,,65.43,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,13:12.8,,65.42,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,25:12.2,,65.54,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,45:12.9,,63.51,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,47:12.9,,63.51,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,49:12.9,,63.37,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,51:13.0,,63.32,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,11:13.2,,64.08,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,21:13.7,,63.64,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,23:13.6,,63.64,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,55:14.0,,64.03,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,29:14.7,,62.26,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,57:14.2,,62.26,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,59:14.3,,62.26,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,19:14.7,,61.05,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,31:14.9,,62.77,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,35:14.9,,62.85,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,37:14.9,,62.84,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,49:15.6,,63.7,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,09:15.5,,63.29,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,11:15.6,,63.29,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,13:16.0,,61.1,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,43:16.1,,61.97,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,45:16.1,,62.03,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,27:16.4,,63.4,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,07:16.7,,62.74,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,31:50.2,,62.03,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,39:47.9,,61.66,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,41:48.0,,61.66,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,43:47.9,,61.67,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,45:47.8,,61.68,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,13:49.1,,59.64,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,15:49.3,,59.64,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,17:49.2,,59.64,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,01:50.3,,59.63,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,15:50.0,,62.39,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,51:50.5,,61.95,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,53:50.4,,61.97,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,25:50.3,,59.81,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,29:50.5,,59.78,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,53:50.8,,59.04,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,59:50.7,,60.08,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,03:50.7,,60.08,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,05:50.8,,60.11,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,09:50.9,,59.87,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,31:51.5,,61.61,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,37:51.5,,61.52,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,39:51.6,,61.48,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,05:51.8,,59.05,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,13:52.2,,61.36,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,15:52.9,,61.36,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,31:52.2,,61.52,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,19:53.0,,60.97,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,49:53.7,,61.14,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,51:53.1,,61.14,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,41:53.2,,60.58,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,21:55.4,,65.17,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,34:52.3,,67.89,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,06:50.8,,65.51,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,44:50.6,,66.14,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,46:51.0,,66.14,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,32:51.1,,66.72,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,20:51.2,,64.17,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,22:51.2,,64.17,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,14:51.9,,63.39,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,06:51.7,,64.63,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:52.1,,64.31,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,56:52.6,,64.31,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,02:52.0,,64.32,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,02:52.3,,63.52,%,192,0
